year,month,day,tag,prey,preynumber,preymass,preysl,preybd,comments,chaoborus
2017,7,26,146,chironomid pupae,2,0.01,NA,NA,NA,yes
2017,7,26,146,chironomid larvae,8,0.01,NA,NA,NA,yes
2017,7,26,146,uip,1,0.01,NA,NA,NA,yes
2017,7,26,152,ephemeroptera larvae,16,0.41,NA,NA,NA,yes
2017,7,26,152,chaoborus,1,0,NA,NA,NA,yes
2017,7,27,156,vegitation,10,0.28,NA,NA,NA,yes
2017,7,27,156,ufp,1,0.1,NA,NA,NA,yes
2017,7,27,156,ephemeroptera larvae,1,0.01,NA,NA,NA,yes
2017,7,27,158,hap,1,0.07,NA,NA,NA,yes
2017,7,27,158,ephemeroptera larvae,1,0.06,NA,NA,NA,yes
2017,7,27,158,chaoborus,32,0.06,NA,NA,NA,yes
2017,7,27,158,chironomid pupae,1,0,NA,NA,NA,yes
2017,7,27,162,chironomid larvae,2,0,NA,NA,NA,yes
2017,7,27,162,chaoborus,1,0,NA,NA,NA,yes
2017,7,27,162,uip,1,0.02,NA,NA,NA,yes
2017,7,27,163,leech,5,0.16,NA,NA,NA,yes
2017,7,27,163,ufp,6,0.08,NA,NA,NA,yes
2017,7,27,163,chironomid larvae,3,0.01,NA,NA,NA,yes
2017,7,27,164,chironomid larvae,1,0.01,NA,NA,NA,yes
2017,7,27,164,leech,2,0.1,NA,NA,NA,yes
2017,7,27,164,hap,1,0.08,1.5,0.5,NA,yes
2017,9,23,235,ephemeroptera larvae,1,0.04,NA,NA,NA,yes
2017,9,23,239,chironomid larvae,1,0.01,NA,NA,NA,yes
2017,9,23,240,ephemeroptera larvae,21,0.4,NA,NA,NA,yes
2017,10,26,283,hap,1,11.09,NA,NA,NA,yes
2017,10,26,283,vegitation,1,0.21,NA,NA,NA,yes
2017,9,25,300,hap,1,4.75,5.7,1.8,NA,yes
2017,9,25,300,hap,1,1.39,NA,NA,NA,yes
2017,9,25,300,mukene,1,0.52,NA,NA,NA,yes
2018,3,14,346,ephemeroptera larvae,106,3.69,NA,NA,NA,yes
2017,12,20,368,mastacembelus,1,26.64,NA,NA,NA,yes
2017,12,20,368,hap,2,10.4,NA,NA,NA,yes
2018,1,17,398,leech,7,0.06,NA,NA,NA,yes
2018,1,17,398,ephemeroptera larvae,13,0.25,NA,NA,NA,yes
2018,1,17,400,leech,9,0.43,NA,NA,NA,yes
2018,1,17,400,ephemeroptera larvae,17,0.13,NA,NA,NA,yes
2018,1,17,400,chironomid pupae,2,0.02,NA,NA,NA,yes
2018,1,17,400,chironomid larvae,4,0.01,NA,NA,NA,yes
2018,1,17,400,uip,1,0.07,NA,NA,NA,yes
2018,1,17,400,vegitation,1,0.01,NA,NA,NA,yes
2018,1,17,401,hap,2,0.95,NA,NA,NA,yes
2018,1,17,405,ephemeroptera larvae,76,0.87,NA,NA,NA,yes
2018,1,18,407,odonata larvae,1,0.17,NA,NA,NA,yes
2018,1,18,407,ephemeroptera larvae,37,1.3,NA,NA,NA,yes
2018,1,18,407,chironomid pupae,5,0.02,NA,NA,NA,yes
2018,1,18,407,vegitation,3,0.04,NA,NA,NA,yes
2018,1,18,412,ephemeroptera larvae,9,0.19,NA,NA,NA,yes
2018,1,18,412,chironomid larvae,4,0.01,NA,NA,NA,yes
2018,1,18,412,chironomid pupae,7,0.04,NA,NA,NA,yes
2018,1,18,412,vegitation,1,0,NA,NA,NA,yes
2018,1,18,413,ephemeroptera larvae,13,0.21,NA,NA,NA,yes
2018,1,18,414,ephemeroptera larvae,6,0.05,NA,NA,NA,yes
2018,1,18,414,chironomid pupae,2,0.01,NA,NA,NA,yes
2018,1,19,417,hap,1,0.15,NA,NA,NA,yes
2018,1,19,421,ufp,1,0.7,NA,NA,NA,yes
2018,1,20,427,ufp,1,0.7,NA,NA,NA,yes
2018,3,14,435,ephemeroptera larvae,121,3.6,NA,NA,NA,yes
2018,3,14,439,odonata larvae,1,0.56,NA,NA,NA,yes
2018,3,14,439,ufp,1,0.02,NA,NA,NA,yes
2018,3,14,439,unidentified,1,0.11,NA,NA,NA,yes
2018,3,14,439,ephemeroptera larvae,10,0.19,NA,NA,NA,yes
2018,3,14,440,chironomid larvae,1,0.01,NA,NA,NA,yes
2018,3,14,440,ephemeroptera larvae,23,0.56,NA,NA,NA,yes
2018,3,14,442,ephemeroptera larvae,66,1.6,NA,NA,NA,yes
2018,3,15,446,ephemeroptera larvae,13,0.53,NA,NA,NA,yes
2018,3,15,446,chironomid pupae,2,0,NA,NA,NA,yes
2018,3,15,447,ephemeroptera larvae,31,1.04,NA,NA,NA,yes
2018,3,15,448,ephemeroptera larvae,18,0.3,NA,NA,NA,yes
2017,10,15,457,odonata larvae,6,1.19,NA,NA,NA,yes
2018,3,16,461,unidentified,1,0.35,NA,NA,NA,yes
2018,3,16,461,chironomid larvae,2,0.01,NA,NA,NA,yes
2018,3,16,461,parasitoid worm,4,0.03,NA,NA,NA,yes
2018,3,16,461,annelid worm,1,0.22,NA,NA,NA,yes
2018,3,16,462,hap,1,5.11,5.55,2.2,NA,yes
2018,3,16,462,hap,1,2.35,NA,NA,NA,yes
2018,3,16,462,ufp,1,0.25,NA,NA,NA,yes
2018,3,16,462,vegitation,1,0.06,NA,NA,NA,yes
2018,3,22,468,ephemeroptera larvae,39,0.75,NA,NA,NA,yes
2018,3,22,469,ephemeroptera larvae,77,3.59,NA,NA,NA,yes
2018,3,22,473,odonata larvae,3,0.88,NA,NA,NA,yes
2018,3,22,473,rocks,1,0.04,NA,NA,NA,yes
2018,3,22,473,odonata larvae,1,0.18,NA,NA,NA,yes
2018,4,10,479,ephemeroptera larvae,6,0.09,NA,NA,NA,yes
2018,4,10,479,chironomid pupae,1,0,NA,NA,NA,yes
2018,4,10,480,hap,1,2.04,NA,NA,NA,yes
2018,4,10,480,chironomid pupae,8,0.03,NA,NA,NA,yes
2018,4,10,480,chaoborus,11,0.02,NA,NA,NA,yes
2018,4,10,481,hap,2,2.86,NA,NA,NA,yes
2018,4,10,481,ufp,1,0.13,NA,NA,NA,yes
2018,4,10,481,vegitation,1,0.03,NA,NA,NA,yes
2018,4,10,482,odonata larvae,1,0.28,NA,NA,NA,yes
2018,4,10,482,ufp,1,0.42,NA,NA,NA,yes
2018,4,10,482,hap,3,4.05,NA,NA,NA,yes
2018,4,10,482,hap,1,4.07,5.6,1.75,NA,yes
2018,4,10,486,ufp,1,0.05,NA,NA,NA,yes
2018,4,10,486,hap,1,0.8,NA,NA,NA,yes
2018,4,11,495,uip,1,0.05,NA,NA,NA,yes
2018,4,11,495,chaoborus,1,0,NA,NA,NA,yes
2018,4,11,495,chironomid pupae,2,0,NA,NA,NA,yes
2018,4,11,495,chironomid larvae,1,0,NA,NA,NA,yes
2018,4,11,498,ufp,1,0.1,NA,NA,NA,yes
2018,4,12,504,odonata larvae,3,0.33,NA,0.7,NA,yes
2018,4,13,507,cichlid,1,0.62,NA,NA,NA,yes
2018,4,13,507,ufp,1,0.02,NA,NA,NA,yes
2018,4,13,511,odonata larvae,7,0.71,0.9,0.7,NA,yes
2018,4,13,511,ephemeroptera larvae,1,0.03,NA,NA,NA,yes
2018,4,13,517,ephemeroptera larvae,65,2.15,NA,NA,NA,yes
2018,4,13,517,chironomid pupae,9,0.05,NA,NA,NA,yes
2018,4,13,517,chironomid larvae,1,0,NA,NA,NA,yes
2017,5,7,5,ephemeroptera larvae,16,0.29,NA,NA,NA,no
2017,5,7,5,unidentified,1,0.01,NA,NA,NA,no
2017,5,7,6,vegitation,1,0.01,NA,NA,NA,no
2017,5,7,6,ephemeroptera larvae,17,0.33,NA,NA,NA,no
2017,5,7,6,ufp,1,0.02,NA,NA,NA,no
2017,5,7,7,ephemeroptera larvae,17,0.3,NA,NA,NA,no
2017,5,7,8,ephemeroptera larvae,42,0.74,NA,NA,NA,no
2017,5,7,9,ephemeroptera larvae,38,0.7,NA,NA,NA,no
2017,5,7,11,ephemeroptera larvae,20,0.43,NA,NA,NA,no
2017,5,7,11,odonata larvae,1,0.06,NA,NA,NA,no
2017,5,7,11,ufp,1,0.04,NA,NA,NA,no
2017,5,7,12,ephemeroptera larvae,42,0.88,NA,NA,NA,no
2017,5,7,14,hap,1,7.56,NA,NA,NA,no
2017,5,7,15,ufp,1,0.9,NA,NA,NA,no
2017,4,20,41,hap,1,0.58,NA,NA,NA,no
2017,4,20,41,ufp,1,0.68,NA,NA,NA,no
2017,4,22,65,hap,2,6.53,NA,NA,NA,no
2016,7,26,79,ephemeroptera larvae,22,0.7,NA,NA,NA,no
2017,1,24,193,ufp,1,0.07,NA,NA,NA,no
2017,1,24,193,hap,1,0.24,NA,NA,NA,no
2017,1,24,194,hap,1,0.21,NA,NA,NA,no
2017,1,24,195,cichlid,1,0.48,NA,NA,NA,no
2017,1,24,198,diptera larvae,99,0.1,NA,NA,NA,no
2016,5,31,1001,hap,1,0.05,NA,NA,NA,no
2016,5,31,1001,cichlid,1,0.09,NA,NA,NA,no
2016,5,31,1002,diptera larvae,8,0.01,NA,NA,NA,no
2016,5,31,1002,cichlid,1,0.06,NA,NA,NA,no
2016,5,31,1004,hap,2,7.12,NA,NA,NA,no
2016,5,31,1010,vegitation,1,0.02,NA,NA,NA,no
2016,5,31,1010,cichlid,1,1.74,NA,NA,NA,no
2016,5,31,1016,hap,1,2.29,NA,NA,NA,no
2016,5,31,1020,hap,1,6.97,NA,NA,NA,no
2016,6,1,1036,diptera pupae,2,0.02,NA,NA,NA,no
2016,6,1,1036,diptera larvae,60,0.12,NA,NA,NA,no
2016,6,1,1038,cichlid,3,0.19,NA,NA,NA,no
2016,6,1,1038,ufp,1,0.08,NA,NA,NA,no
2016,6,1,1038,uip,1,0.13,NA,NA,NA,no
2016,6,1,1040,diptera pupae,2,0.01,NA,NA,NA,no
2016,6,1,1040,diptera larvae,66,0.08,NA,NA,NA,no
2016,6,1,1042,ephemeroptera larvae,2,0.01,NA,NA,NA,no
2016,6,1,1042,diptera pupae,1,0.01,NA,NA,NA,no
2016,6,1,1042,diptera larvae,9,0.01,NA,NA,NA,no
2016,6,1,1046,diptera pupae,6,0.03,NA,NA,NA,no
2016,6,1,1046,diptera larvae,4,0.01,NA,NA,NA,no
2016,6,1,1101,ufp,1,0.1,NA,NA,NA,no
2016,6,1,1101,diptera larvae,13,0.02,NA,NA,NA,no
2016,6,2,1105,diptera larvae,215,0.25,NA,NA,NA,no
2016,6,2,1106,diptera larvae,1,0.01,NA,NA,NA,no
2016,6,2,1106,diptera pupae,1,0.01,NA,NA,NA,no
2016,6,2,1106,uip,1,0.01,NA,NA,NA,no
2016,6,3,1110,hap,1,2.68,NA,NA,NA,no
2017,6,3,1113,barbus,1,0.57,NA,NA,NA,no
2016,6,3,1114,hap,1,0.78,NA,NA,NA,no
2016,6,3,1119,hap,1,5.47,NA,NA,NA,no
2016,7,5,1124,cichlid,1,0.1,NA,NA,NA,no
2016,7,5,1128,ufp,1,0.33,NA,NA,NA,no
2016,7,5,1129,hap,1,0.12,NA,NA,NA,no
2016,7,6,1143,hap,1,4.67,NA,NA,NA,no
2016,7,6,1146,diptera larvae,80,0.14,NA,NA,NA,no
2016,7,7,1201,cichlid,1,0.04,NA,NA,NA,no
2016,7,7,1210,hap,1,3.78,NA,NA,NA,no
2016,7,7,1213,ephemeroptera larvae,12,0.19,NA,NA,NA,no
2016,7,7,1213,diptera pupae,2,0.01,NA,NA,NA,no
2016,7,7,1218,cichlid,1,0.05,NA,NA,NA,no
2016,7,8,1220,ephemeroptera larvae,8,0.06,NA,NA,NA,no
2016,7,8,1220,unidentified,1,0.01,NA,NA,NA,no
2016,7,8,1227,ufp,1,0.01,NA,NA,NA,no
2016,7,8,1227,diptera pupae,15,0.07,NA,NA,NA,no
2016,7,8,1227,diptera larvae,35,0.06,NA,NA,NA,no
2016,7,8,1228,diptera larvae,3,0.01,NA,NA,NA,no
2016,7,8,1232,diptera pupae,20,0.14,NA,NA,NA,no
2016,7,8,1232,diptera larvae,30,0.21,NA,NA,NA,no
2016,7,8,1233,uip,1,0.01,NA,NA,NA,no
2016,7,8,1233,nile perch,1,4.33,NA,NA,NA,no
2016,7,8,1240,ephemeroptera larvae,4,0.16,NA,NA,NA,no
2016,7,8,1243,odonata larvae,1,0.23,NA,NA,NA,no
2016,7,8,1243,hap,2,0.17,NA,NA,NA,no
2016,7,8,1243,ufp,1,0.04,NA,NA,NA,no
2016,7,8,1243,uip,1,0.03,NA,NA,NA,no
2016,7,8,1243,diptera larvae,4,0.02,NA,NA,NA,no
2016,7,8,1246,diptera pupae,10,0.07,NA,NA,NA,no
2016,7,8,1246,diptera larvae,20,0.14,NA,NA,NA,no
2016,7,26,1249,ephemeroptera larvae,11,0.17,NA,NA,NA,no
2016,7,26,1250,ephemeroptera larvae,9,0.1,NA,NA,NA,no
2016,7,26,1250,ufp,1,0.01,NA,NA,NA,no
2016,7,26,1250,vegitation,1,0.01,NA,NA,NA,no
2016,2,8,1252,ufp,1,0.05,NA,NA,NA,no
2016,2,8,1252,rope,1,0.03,4,0.1,NA,no
2016,2,8,1252,vegitation,5,0.08,NA,NA,NA,no
2016,2,8,1254,hap,2,3.85,NA,NA,NA,no
2016,2,8,1254,vegitation,2,0.06,NA,NA,NA,no
2016,2,9,1270,cichlid,1,0.78,NA,NA,NA,no
2016,2,9,1274,hap,1,0.52,NA,NA,NA,no
2016,7,26,1278,ephemeroptera larvae,7,0.05,NA,NA,NA,no
2016,7,26,1278,ufp,2,0.85,NA,NA,NA,no
2016,7,26,1280,leech,6,0.19,NA,NA,NA,no
2016,7,26,1280,ephemeroptera larvae,4,0.14,NA,NA,NA,no
2016,7,26,1280,diptera pupae,11,0.03,NA,NA,NA,no
2016,7,26,1280,diptera larvae,35,0.07,NA,NA,NA,no
2016,6,26,1282,leech,1,0.01,NA,NA,NA,no
2016,6,26,1282,ephemeroptera larvae,36,0.84,NA,NA,NA,no
2016,7,26,1285,ephemeroptera larvae,5,0.01,NA,NA,NA,no
2016,7,26,1285,diptera larvae,6,0.01,NA,NA,NA,no
2016,7,26,1285,uip,1,0.01,NA,NA,NA,no
2016,7,27,1290,hap,1,13.32,NA,NA,NA,no
2016,7,27,1291,odonata larvae,1,0.21,NA,NA,NA,no
2016,7,27,1291,ephemeroptera larvae,9,0.07,NA,NA,NA,no
2016,7,27,1291,uip,1,0.06,NA,NA,NA,no
2016,7,27,1296,ephemeroptera larvae,6,0.18,NA,NA,NA,no
2016,7,27,1305,nile perch,1,0.15,NA,NA,NA,no
2016,7,27,1305,diptera larvae,2,0.01,NA,NA,NA,no
2016,7,27,1305,ufp,1,0.22,NA,NA,NA,no
2016,7,27,1311,diptera larvae,1,0.01,NA,NA,NA,no
2016,7,27,1311,diptera pupae,3,0.02,NA,NA,NA,no
2016,7,27,1311,ephemeroptera larvae,23,0.21,NA,NA,NA,no
2016,7,28,1321,cichlid,1,1.7,NA,NA,NA,no
2016,7,29,1391,diptera larvae,25,0.08,NA,NA,NA,no
2016,7,29,1393,nile perch,2,7.32,NA,NA,NA,no
2016,7,29,1393,hap,1,3.5,NA,NA,NA,no
2016,7,29,1393,ephemeroptera larvae,1,0.01,NA,NA,NA,no
2016,8,24,1395,ephemeroptera larvae,5,0.09,NA,NA,NA,no
2016,8,24,1397,diptera larvae,200,0.36,NA,NA,NA,no
2016,8,24,1397,diptera pupae,1,0.01,NA,NA,NA,no
2016,8,24,1397,ephemeroptera larvae,7,0.05,NA,NA,NA,no
2016,8,24,1401,diptera larvae,46,0.07,NA,NA,NA,no
2016,8,24,1401,odonata larvae,2,0.11,NA,NA,NA,no
2016,8,24,1404,tilapiine cichlid,1,0.06,NA,NA,NA,no
2016,8,24,1404,hap,1,0.19,NA,NA,NA,no
2016,8,25,1413,ufp,1,0.27,NA,NA,NA,no
2016,8,25,1418,diptera pupae,2,0.01,NA,NA,NA,no
2016,8,25,1418,ephemeroptera larvae,2,0.03,NA,NA,NA,no
2016,8,25,1418,hap,1,0.06,NA,NA,NA,no
2016,8,25,1418,ufp,1,0.01,NA,NA,NA,no
2016,8,25,1423,ephemeroptera larvae,1,0.01,NA,NA,NA,no
2016,8,25,1423,diptera pupae,7,0.03,NA,NA,NA,no
2016,8,25,1423,diptera larvae,72,0.09,NA,NA,NA,no
2016,8,25,1425,hap,2,0.16,NA,NA,NA,no
2016,8,26,1427,hap,1,0.18,NA,NA,NA,no
2016,8,26,1427,ephemeroptera larvae,1,0.01,NA,NA,NA,no
2016,8,26,1431,hap,1,0.95,NA,NA,NA,no
2016,9,20,1442,ephemeroptera larvae,10,0.22,NA,NA,NA,no
2016,9,20,1442,diptera larvae,1,0.01,NA,NA,NA,no
2016,9,20,1443,ephemeroptera larvae,7,0.15,NA,NA,NA,no
2016,3,9,1451,ufp,1,0.27,NA,NA,NA,no
2016,3,9,1451,vegitation,1,0.01,NA,NA,NA,no
2016,3,9,1468,hap,1,0.39,NA,NA,NA,no
2016,3,9,1469,hap,1,3.18,5.2,1.5,NA,no
2016,3,9,1469,barbus,1,1.19,4.3,1.1,NA,no
2016,3,11,1479,cichlid,1,0.21,NA,NA,NA,no
2016,3,11,1484,ephemeroptera larvae,6,0.08,NA,NA,NA,no
2016,4,2,1489,ephemeroptera larvae,15,0.25,NA,NA,NA,no
2016,4,2,1497,ephemeroptera larvae,9,0.13,NA,NA,NA,no
2016,4,2,1497,hap,1,0.11,NA,NA,NA,no
2016,4,2,1500,ephemeroptera larvae,16,0.14,NA,NA,NA,no
2016,4,2,1502,ephemeroptera larvae,10,0.19,NA,NA,NA,no
2016,4,2,1505,hap,6,0.67,NA,NA,NA,no
2016,4,2,1505,diptera pupae,2,0.01,NA,NA,NA,no
2016,4,2,1505,diptera larvae,2,0.01,NA,NA,NA,no
2016,4,2,1507,diptera pupae,4,0.02,NA,NA,NA,no
2016,4,2,1507,leech,1,0.01,NA,NA,NA,no
2016,4,2,1507,diptera larvae,5,0.01,NA,NA,NA,no
2016,4,2,1507,ephemeroptera larvae,1,0.01,NA,NA,NA,no
2016,4,3,1516,diptera pupae,60,0.19,NA,NA,NA,no
2016,4,3,1516,diptera larvae,60,0.24,NA,NA,NA,no
2016,2,9,1526,ufp,1,0.71,NA,NA,NA,no
2016,2,9,1529,diptera larvae,71,0.09,NA,NA,NA,no
2016,2,9,1530,mukene,1,0.4,NA,NA,NA,no
2016,2,10,1534,hap,1,3.17,NA,NA,NA,no
2016,2,10,1535,ephemeroptera larvae,5,0.02,NA,NA,NA,no
2016,2,10,1535,diptera pupae,3,0.01,NA,NA,NA,no
2016,2,10,1535,vegitation,1,0.01,NA,NA,NA,no
2016,2,10,1538,hap,2,0.33,NA,NA,NA,no
2016,2,10,1538,ufp,1,0.04,NA,NA,NA,no
2016,2,10,1540,hap,2,0.21,NA,NA,NA,no
2016,2,10,1540,uip,1,0.01,NA,NA,NA,no
2016,4,3,1552,ephemeroptera larvae,5,0.02,NA,NA,NA,no
2016,4,3,1553,hap,1,0.39,NA,NA,NA,no
2016,4,3,1553,diptera pupae,2,0.01,NA,NA,NA,no
2016,4,3,1553,vegitation,1,0.01,NA,NA,NA,no
2016,4,3,1556,hap,1,1.65,NA,NA,NA,no
2016,4,3,1556,vegitation,1,0.01,NA,NA,NA,no
2016,4,5,1564,nile perch,1,0.1,NA,NA,NA,no
2016,4,5,1567,diptera larvae,175,0.42,NA,NA,NA,no
2016,3,8,1576,hap,2,3.56,4.2,1.3,NA,no
2016,3,8,1582,hap,1,0.29,NA,NA,NA,no
2016,3,8,1582,diptera larvae,30,0.03,NA,NA,NA,no
2016,3,8,1589,ephemeroptera larvae,12,0.28,NA,NA,NA,no
2016,3,8,1595,ephemeroptera larvae,4,0.04,NA,NA,NA,no
2016,3,8,1595,diptera larvae,25,0.02,NA,NA,NA,no
2016,3,8,1600,ephemeroptera larvae,3,0.07,NA,NA,NA,no
2016,3,8,1600,hap,1,0.04,NA,NA,NA,no
2016,1,11,1664,hap,3,2.1,NA,NA,NA,no
2016,1,11,1666,hap,1,0.44,NA,NA,NA,no
2016,1,11,1666,ephemeroptera larvae,5,0.02,NA,NA,NA,no
2016,1,11,1668,cichlid,1,0.17,NA,NA,NA,no
2016,1,11,1668,diptera,1,0.01,NA,NA,NA,no
2016,1,11,1673,hap,1,0.32,NA,0.7,NA,no
2016,1,11,1673,ephemeroptera larvae,6,0.12,NA,NA,NA,no
2016,1,11,1674,hap,6,1.08,2.1,0.7,NA,no
2016,11,11,1679,nile perch,1,0.04,NA,NA,NA,no
2016,11,11,1682,ufp,1,0.75,NA,NA,NA,no
2016,11,11,1682,hap,1,5.11,NA,NA,NA,no
2016,11,11,1682,cichlid,1,0.24,NA,NA,NA,no
2016,11,11,1682,vegitation,1,0.05,NA,NA,NA,no
2016,11,11,1683,ufp,1,0.06,NA,NA,NA,no
2016,11,22,1685,ephemeroptera larvae,5,0.06,NA,NA,NA,no
2016,11,22,1686,ephemeroptera larvae,19,0.08,NA,NA,NA,no
2016,11,22,1686,ufp,1,0.01,NA,NA,NA,no
2016,11,22,1687,hap,1,8.1,6.4,2.2,NA,no
2016,11,22,1689,diptera pupae,5,0.01,NA,NA,NA,no
2016,11,22,1689,diptera larvae,2,0.01,NA,NA,NA,no
2016,11,22,1696,ephemeroptera larvae,38,0.51,NA,NA,NA,no
2016,11,23,1699,hap,1,0.2,NA,NA,NA,no
2016,11,23,1702,hap,1,2.1,NA,NA,NA,no
2016,11,24,1705,cichlid,1,0.12,NA,NA,NA,no
2016,11,25,1710,hap,2,0.82,NA,NA,NA,no
2016,11,25,1710,ufp,1,0.13,NA,NA,NA,no
2016,11,25,1714,diptera pupae,24,0.05,NA,NA,NA,no
2016,11,25,1714,ephemeroptera larvae,2,0.07,NA,NA,NA,no
2016,11,25,1716,hap,1,0.61,NA,NA,NA,no
2016,11,25,1716,uip,1,0.01,NA,NA,NA,no
2016,12,15,1720,ephemeroptera larvae,1,0.01,NA,NA,NA,no
2016,12,15,1720,hap,1,0.12,NA,NA,NA,no
2016,12,15,1722,hap,1,0.11,NA,NA,NA,no
2016,12,15,1722,cichlid,1,0.06,NA,NA,NA,no
2016,12,16,1726,ephemeroptera larvae,3,0.06,NA,NA,NA,no
2016,12,16,1729,ephemeroptera larvae,62,1.71,NA,NA,NA,no
2016,12,17,1739,hap,1,0.3,NA,NA,NA,no
2016,12,17,1741,diptera pupae,7,0.02,NA,NA,NA,no
2016,12,17,1741,tilapiine cichlid,1,0.16,NA,NA,NA,no
2016,12,17,1741,hap,1,0.51,NA,NA,NA,no
2016,12,17,1741,cichlid,1,0.06,NA,NA,NA,no
2016,12,17,1743,diptera larvae,262,0.37,NA,NA,NA,no
2017,1,18,1758,ephemeroptera larvae,2,0.03,NA,NA,NA,no
2017,1,18,1758,hap,1,0.31,NA,NA,NA,no
2017,1,18,1758,ufp,1,0.16,NA,NA,NA,no
2017,1,18,1758,vegitation,1,0.05,NA,NA,NA,no
2017,1,18,1760,ephemeroptera larvae,9,0.22,NA,NA,NA,no
2017,1,18,1760,hap,1,0.41,NA,NA,NA,no
2017,1,18,1761,hap,2,0.09,NA,NA,NA,no
2017,1,18,1761,leech,2,0.13,NA,NA,NA,no
2017,1,18,1761,ants,1,0.01,NA,NA,NA,no
2017,1,18,1761,ephemeroptera larvae,2,0.07,NA,NA,NA,no
2017,1,18,1761,diptera pupae,5,0.02,NA,NA,NA,no
2017,1,18,1761,diptera larvae,3,0.01,NA,NA,NA,no
2017,1,18,1767,ephemeroptera larvae,1,0.03,NA,NA,NA,no
2017,1,18,1767,diptera pupae,3,0.02,NA,NA,NA,no
2017,1,18,1768,leech,4,0.13,NA,NA,NA,no
2017,1,18,1768,diptera larvae,1,0.01,NA,NA,NA,no
2017,1,18,1769,hap,1,0.24,1.9,0.7,NA,no
2017,1,18,1769,cichlid,1,0.25,NA,NA,NA,no
2017,1,18,1769,vegitation,1,0.01,NA,NA,NA,no
2017,1,19,1782,diptera larvae,20,0.03,NA,NA,NA,no
2017,1,19,1782,diptera pupae,17,0.05,NA,NA,NA,no
2017,1,19,1785,diptera pupae,478,2.62,NA,NA,NA,no
2017,1,19,1785,odonata larvae,1,0.1,NA,NA,NA,no
2017,1,19,1785,ufp,1,0.03,NA,NA,NA,no
2017,1,19,1785,diptera larvae,1,0.01,NA,NA,NA,no
2017,1,23,1789,barbus,1,1.02,NA,NA,NA,no
2017,1,23,1791,diptera pupae,2,0.01,NA,NA,NA,no
2017,1,23,1791,hap,1,0.06,NA,NA,NA,no
2017,1,23,1791,ufp,1,0.04,NA,NA,NA,no
2017,1,23,1793,ufp,1,0.39,NA,NA,NA,no
2017,1,23,1793,hap,4,3.24,NA,NA,NA,no
2017,1,23,1793,diptera larvae,1,0.01,NA,NA,NA,no
2017,1,23,1798,hap,1,0.29,NA,NA,NA,no
2017,1,23,1798,diptera pupae,1,0.01,NA,NA,NA,no
2016,1,14,1806,nile perch,1,3.96,6,1.7,NA,no
2016,2,8,1810,ephemeroptera larvae,11,0.21,NA,NA,NA,no
2016,2,8,1810,vegitation,1,0.01,NA,NA,NA,no
2016,2,8,1812,ephemeroptera larvae,3,0.02,NA,NA,NA,no
2016,2,8,1821,ephemeroptera larvae,18,0.42,NA,NA,NA,no
2016,2,8,1824,ephemeroptera larvae,15,0.54,NA,NA,NA,no
2016,2,8,1825,ephemeroptera larvae,12,0.35,NA,NA,NA,no
2016,1,11,1834,hap,1,6.12,NA,NA,NA,no
2016,1,11,1835,hap,1,0.37,NA,NA,NA,no
2016,1,11,1838,ephemeroptera larvae,7,0.11,NA,NA,NA,no
2016,1,11,1838,vegitation,1,0.01,NA,NA,NA,no
2016,1,12,1847,ephemeroptera larvae,9,0.05,NA,NA,NA,no
2016,1,12,1847,odonata larvae,1,0.01,NA,NA,NA,no
2016,1,12,1856,nile perch,2,4.99,5,1.7,NA,no
2016,1,13,1861,odonata larvae,1,0.07,NA,NA,NA,no
2016,1,13,1866,hap,2,0.27,NA,NA,NA,no
2016,1,13,1867,hap,2,0.4,NA,NA,NA,no
